, 2009-01-19 12:03:07
00:16:D3:C8:8B:88, 2009-01-29 10:58:57
00:16:D3:C8:94:57, 2009-01-29 10:58:57
00:1F:16:0E:11:2D, 2009-01-29 10:58:57
00:16:D3:CC:43:46, 2009-01-29 10:58:57
00:16:D3:3E:F5:2F, 2009-01-28 20:27:03
00:16:D3:CC:3D:E6, 2009-01-29 15:03:51
00:21:97:0F:E3:6E, 2009-01-29 07:34:17
00:16:D3:C8:92:76, 2009-01-29 10:58:57
00:1F:16:0E:08:71, 2009-01-28 20:27:03
00:16:D3:CA:60:51, 2009-01-29 10:58:57
00:00:00:00:00:00, 2009-01-26 11:59:37
00:1F:16:0E:01:2D, 2009-01-28 20:27:03
00:1E:C1:A8:18:80, 2009-01-29 07:34:17
00:15:60:B1:99:F9, 2009-01-29 10:58:57
00:1F:16:0E:06:A6, 2009-01-29 12:02:11
